label,n_in,n_out,detail,examples_dropped,n_dropped,pct_retained
Bryois arm (D-007),0,0,"pseudobulk vs 8 cell types on 22 complete chromosome(s): [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]. Both arms are restricted to the same chromosomes, so the contrast is valid; it gains power as the remaining files arrive.",,0,
restrict all rungs to the fixed gene universe,609619,521874,"Tests on genes outside the 18,481-gene universe are dropped. The universe is the denominator (D-012), so a test on a gene it does not contain has nowhere to land.",,87745,85.61
rung gtex_cortex: tested -> detected (uniform),16195,5417,"1 cell type(s); native call would give 8,226",,10778,33.45
rung bryois_celltype: tested -> detected (uniform),14671,2781,8 cell type(s); native call would give 0,,11890,18.96
rung bryois_pb: tested -> detected (uniform),13735,1719,1 cell type(s); native call would give 0,,12016,12.52
rung bulk_brain: tested -> detected (uniform),17169,8594,"1 cell type(s); native call would give 17,107",,8575,50.06
rung sn_major: tested -> detected (uniform),14047,9906,"7 cell type(s); native call would give 13,211",,4141,70.52
rung sn_subtype: tested -> detected (uniform),14422,9066,"28 cell type(s); native call would give 13,961",,5356,62.86
